File,Summary,Description - Test Setup,Description - Configuration,Description - Verification,Expected Result
$SDK/src/examples/xgs/TD3/mpls/vpws_qos_1.c," This Cint example to show configuration of VPWS QoS mapping from access-side
 to network-side using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS from access-side, packet .1Q PRI is mapped to
 internal priority. On egress to provider port, internal priority is
 remarked to EXP field functional scenario and does the necessary
 configurations of vlan, interface and next hop.
 b) Customer port -----  XGS ----- Provider port
 .1Q priority ---> Internal priority ---> Remark EXP field
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with .1Q priority on access port and
 also send tunneled packet on network port.
 The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation with remarked EXP as 3 and flows
 out of network_port for incoming .1Q pri and . Example, we are sending
 with .1Q PRI as 3 on customer/access port. Also we can see that VPWS
 tunnel terminates on network/provider port and goes out of access port.
 Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoA_route_uc.c," Cint example to demonstrate VxLAN Riot configuration for access to access unicast flow
 - L3 routing based on defip lookup table(L3_DEFIP)
 "," a) Selects 2 ports for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup two access ports for routing.
 This does the necessary configurations of vxlan global settings, vlan,
 access ports settings, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the routed packet on the egress port
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoN_uc_tunnel.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination and
 initiation in a single pass.
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_uc.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_dscp_mapping.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_mc_decap_leaf.c," Cint example to demonstrate VxLAN Riot configuration for multicast
 leaf mode operation
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the
 feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings,
 vlan, access and network port setting, tunnel setup, interface
 and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', traversing the vpn
 and vp's
  b) Transmit the multicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel terminated packets and ipmc routed packets on the
 egress ports respectively
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_arp_protocol.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow) to lift arp packets to cpu
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_vp_sharing.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv6_riot_NtoA_uc.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access (decap flow)
  "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Bridging configuration .
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 V6 is FlexFlow feature and hence requires FLow Options to be used.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the routerd packet on egress access port
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_DscpPacket.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - dst-mac 00:00:00:22:22:22 is tunneled through network port
 - copied ingress packet DSCP(63) to outer VxLAN IP header
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, DSCP setting, tunnel setup, interface
 and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_uc_alpm.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - dst-mac 00:00:00:22:22:22 is tunneled through network port
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_mc_decap_multi_leaf.c," Cint example to demonstrate VxLAN Riot configuration for multicast
 L2 & L3 leaf mode operation
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the
 feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings,
 vlan, access and network port setting, tunnel setup, interface
 and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', traversing the vpn
 and vp's
  b) Transmit the multicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel terminated packets and ipmc routed packets on the
 egress ports respectively
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_igmp_protocol.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow) to lift igmp packets to cpu
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the vxlan packet with igmp payload get copied to cpu with protocol as a reason code.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoA_host_uc.c," Cint example to demonstrate VxLAN Riot configuration for access to access unicast flow
 - L3 routing based on host lookup table(L3_ENTRY_ONLY_SINGLE)
 "," a) Selects 2 ports for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup two access ports for routing.
 This does the necessary configurations of vxlan global settings, vlan,
 access ports settings, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the routed packet on the egress port
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_DscpAssign.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - dst-mac 00:00:00:22:22:22 is tunneled through network port
 - DSCP 0x10 assigned to VXLAN tunneled packet
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, DSCP setting, tunnel setup, interface
 and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_router_dip.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow) where overlay IP is destined to Host CPU
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_mc_bud.c," Cint example to demonstrate VxLAN Riot configuration for multicast bud mode operation-
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the multicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel terminated packets and ipmc routed packets on the
 egress ports respectively
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv6_riot_AtoN_uc.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
  "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Bridging configuration .
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 V6 is FlexFlow feature and hence requires FLow Options to be used.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv6 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_DscpMap.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - dst-mac 00:00:00:22:22:22 is tunneled through network port
 - packet DSCP to internal priority and internal priority
 to egress VxLAN IP header DSCP
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, ingress DSCP mapping, egress DSCP mapping,
 tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_uc_ECMP_OL.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - Overlay IP route lookup results in ECMP group (Overlay ECMP)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', 'l3 intf show',l3 egress show',
 'l3 multipath show', traversing the vpn and vp's
  b) Transmit 2 known unicast packets. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among ECMP members.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_bridge.c," Cint example to demonstrate VxLAN configuration for tunnel termination -
 - network to access(decap flow) bridging to access side
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for switching into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the decapsulated payload
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_uc_alpm.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_NtoA_uc_ECMP_OL.c," Cint example to demonstrate VxLAN Riot configuration for tunnel termination -
 - network to access(decap flow)
 - Overlay IP route lookup results in ECMP group (Overlay ECMP)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', 'l3 intf show',l3 egress show',
 'l3 multipath show', traversing the vpn and vp's
  b) Transmit 5 known unicast packets. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among ECMP members.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_uc_ECMP_UL.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - Tunnel has a destination ECMP group (Underlay ECMP)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', 'l3 intf show',l3 egress show',
 'l3 multipath show', traversing the vpn and vp's
  b) Transmit 3 known unicast packets. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among ECMP members.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoA_mc.c," Cint example to demonstrate VxLAN Riot configuration for access to access multicast flow
 - L3 multicast routing
 - L2 multicast bridging
 "," a) Selects 3 ports for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup two access ports for routing and one for bridging.
 This does the necessary configurations of vxlan global settings, vlan,
 access ports settings, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit multicast packet. The contents of the packet
 are printed on screen.
 "," We can see the routed packet on the egress port
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_uc_ECMP_OL_UL.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - Overlay IP route lookup results in ECMP group (Overlay ECMP)
 - Tunnel has a destination ECMP group (Underlay ECMP)
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', 'l3 intf show',l3 egress show',
 'l3 multipath show', traversing the vpn and vp's
  b) Transmit 6 known unicast packets. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among ECMP members.
"
$SDK/src/examples/xgs/TD3/Vxlan/Riot/FlexFlow/ipv4_riot_AtoN_uc.c," Cint example to demonstrate VxLAN Riot configuration for tunnel Initiation -
 - access to network (encap flow)
 - dst-mac 00:00:00:22:22:22 is tunneled through network port
 "," a) Selects ports for network side and for access side
 and configure them in Loopback mode.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Riot configuration with SDTAG operations.
 Setup network port for routing into vxlan tunnel.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/FlexFlow/vxlan_v4_net_to_acc_trunk_inner_l3.c," Cint example to demonstrate VxLAN Bridging configuration for tunnel Termination -
 - network to access with access port being a trunk(decap flow)
 - Distribution on trunk based on inner packet (payload) fields: Inner L3 SrcIP & DstIP
 "," a) Selects six ports and configure them in Loopback mode. Out of these
 six ports, one port is used as ingress_port and the others as
 egress_port.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Bridging configuration with SDTAG operations.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', 'trunk show', traversing the vpn and vp's
  b) Transmit 5 known unicast packets. The contents of the packets
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation 
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among trunk member ports.
"
$SDK/src/examples/xgs/TD3/Vxlan/FlexFlow/ipv4_AtoN_Egress_VFI_DGLP_Membership.c," Cint example to demonstrate VxLAN Bridging configuration for tunnel Initiation -
 - access to network (encap flow)
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Bridging configuration with SDTAG operations.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show',traversing the vpn and vp's
  b) Transmit the known unicast packet. The contents of the packet
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/Vxlan/FlexFlow/vxlan_v4_vplag_net_to_acc_uc.c," Cint example to demonstrate VxLAN Bridging configuration for tunnel Initiation -
 - access to network, with multiple access ports being a LAG (VP LAG)
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy ingress & egress packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a verification purpose and is not part of the feature configuration.
 "," a) Configure a VxLAN Bridging configuration with SDTAG operations.
 This does the necessary configurations of vxlan global settings, vlan,
 access and network port setting, tunnel setup, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l2 show', traversing the vpn and vp's
  b) Transmit 5 known unicast packets. The contents of the packets
 are printed on screen.
 "," We can see the tunnel packet on the egress port with the IPv4 encapsulation
 and 'show c' to check the Tx/Rx packet stats/counters.
 Also, 'show c s' shows the packet distribution among VP LAG member ports.
"
